1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.345537	0.000000	5.934455	0.029777	493.3
1	-0.334979	0.000000	5.934455	0.026999	2.5
2	-0.314534	0.000000	5.934455	0.024840	2.2
3	-0.353070	0.000000	5.934455	0.033996	2.3
4	-0.333745	0.000000	5.934455	0.029501	2.3
5	-0.338730	0.000000	5.934455	0.022384	2.5
6	-0.356766	0.000000	5.934455	0.037794	2.2
7	-0.382628	0.000000	5.934455	0.036595	2.6
8	-0.371425	0.000000	5.934455	0.022755	2.2
9	-0.377223	0.000000	5.934455	0.014457	2.2
10	-0.367079	0.000000	5.934455	0.018032	2.4
11	-0.363185	0.000000	5.934455	0.018057	2.1
12	-0.410667	0.000000	5.934455	0.018275	2.3
13	-0.482847	0.000000	5.934455	0.043977	2.3
14	-0.361327	0.000000	5.934455	0.021592	2.2
15	-0.376145	0.000000	5.934455	0.044961	2.3
16	-0.421391	0.000000	5.934455	0.026841	2.2
17	-0.344544	0.000000	5.934455	0.024956	2.4
18	-0.378782	0.000000	5.934455	0.032107	2.2
19	-0.419395	0.000000	5.934455	0.044124	2.2
20	-0.421090	0.000000	5.934455	0.027201	2.6
21	-0.406338	0.000000	5.934455	0.055377	2.3
22	-0.399814	0.000000	5.934455	0.024660	2.3
23	-0.456154	0.000000	5.934455	0.043197	2.2
24	-0.488217	0.000000	5.934455	0.024226	1.9
25	-0.483826	0.000000	5.934455	0.033189	2.2
26	-0.458238	0.000000	5.934455	0.018786	2.3
27	-0.481971	0.000000	5.934455	0.012510	2.4
28	-0.479421	0.000000	5.934455	0.019506	2.3
29	-0.473011	0.000000	5.934455	0.039196	3.1
30	-0.459303	0.000000	5.934455	0.027686	2.4
31	-0.458236	1.000000	5.664707	0.027268	2.2
32	-0.373804	0.579700	5.775036	0.024442	2.2
33	-0.486078	0.159400	5.889749	0.023953	2.3
34	-0.420746	0.000000	5.934455	0.029965	2.3
35	-0.472346	1.000000	5.664707	0.017054	2.2
36	-0.505011	2.000000	5.418415	0.011358	2.3
37	-0.495010	1.580003	5.519200	0.008354	2.5
38	-0.468888	1.184958	5.617480	0.015814	2.5
39	-0.510036	2.066382	5.402822	0.009586	2.3
40	-0.428240	3.002982	5.192003	0.015873	2.8
41	-0.490218	3.803450	5.024444	0.025708	4.9
42	-0.479121	3.384702	5.110727	0.018335	2.8
43	-0.448499	4.335236	4.918981	0.007204	2.9
44	-0.494738	3.936296	4.997677	0.045161	2.7
45	-0.444800	4.887231	4.814094	0.009387	3.1
46	-0.483569	5.887164	4.635058	0.023094	2.6
47	-0.527706	5.596751	4.685668	0.011522	3.0
48	-0.491631	6.431269	4.543120	0.016782	2.7
49	-0.455316	7.426317	4.384091	0.007831	2.8
50	-0.472118	7.008100	4.449554	0.016877	3.1
51	-0.455807	7.983370	4.299830	0.032125	2.6
52	-0.496417	7.563072	4.363101	0.016814	3.1
53	-0.465541	8.562644	4.215575	0.011149	2.8
54	-0.494204	9.525859	4.082557	0.012635	2.6
55	-0.457176	10.505196	3.955651	0.014941	2.3
56	-0.527231	11.056012	3.887681	0.014946	2.5
57	-0.516873	12.052617	3.770460	0.029185	2.6
58	-0.468745	11.632317	3.819023	0.013324	2.3
59	-0.424535	12.632314	3.705471	0.017022	2.3
60	-0.467625	12.213515	3.752194	0.015952	3.0
61	-0.458434	11.793632	3.800236	0.010378	2.2
62	-0.454745	11.765695	3.803477	0.014900	2.6
63	-0.493633	11.363691	3.850721	0.019942	2.6
