1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
787	-0.484483	95.197110	0.393196	0.019218	1.7
788	-0.540397	94.501287	0.395565	0.042234	1.9
789	-0.504641	95.188620	0.393225	0.040761	1.9
790	-0.523905	96.188560	0.389869	0.020689	1.7
791	-0.514225	96.393187	0.389190	0.025560	10.2
792	-0.456827	95.663037	0.391626	0.018064	2.0
793	-0.431709	95.366242	0.392624	0.035123	1.8
794	-0.531494	96.293775	0.389520	0.009311	1.9
795	-0.518663	96.630355	0.388405	0.062127	2.1
796	-0.565823	97.506543	0.385533	0.047404	2.0
797	-0.482397	96.745166	0.388026	0.012218	1.8
798	-0.486819	96.458275	0.388974	0.023698	1.9
799	-0.473976	96.101345	0.390160	0.041811	2.0
800	-0.486896	97.093837	0.386881	0.029394	2.0
801	-0.485666	96.334402	0.389385	0.026369	2.2
802	-0.429134	95.973989	0.390584	0.020979	2.1
803	-0.470904	95.234544	0.393069	0.028601	2.0
804	-0.493926	96.157056	0.389974	0.026089	3.2
805	-0.488057	96.295328	0.389514	0.041542	2.2
806	-0.492302	97.292533	0.386231	0.059885	2.0
807	-0.459355	98.292531	0.382993	0.027830	1.9
808	-0.533765	99.292526	0.379809	0.006893	2.1
809	-0.588422	99.532404	0.379053	0.017350	1.6
810	-0.505534	99.174472	0.380182	0.038022	3.5
811	-0.446753	100.162469	0.377082	0.004140	1.9
812	-0.448036	100.590647	0.375754	0.022253	2.0
813	-0.485812	100.810987	0.375075	0.033268	1.9
814	-0.459531	100.074310	0.377357	0.020747	2.0
815	-0.469398	100.210955	0.376931	0.032779	2.0
816	-0.441838	99.799789	0.378214	0.031500	1.9
817	-0.486335	99.753552	0.378359	0.033406	1.9
818	-0.498195	98.997154	0.380744	0.032343	1.8
819	-0.513546	98.370652	0.382742	0.062677	1.9
820	-0.516029	97.609274	0.385199	0.050333	1.8
821	-0.521787	98.609230	0.381979	0.045811	1.7
822	-0.470939	97.847853	0.384426	0.022172	2.0
823	-0.490177	98.846838	0.381222	0.031675	2.4
824	-0.437814	98.099895	0.383613	0.053171	1.9
825	-0.493737	99.099893	0.380418	0.016181	2.2
826	-0.501865	99.235742	0.379989	0.017666	2.2
827	-0.503215	99.367736	0.379572	0.033702	2.2
828	-0.504090	99.940579	0.377774	0.031937	2.7
829	-0.481578	99.192873	0.380124	0.026656	3.3
830	-0.412546	100.190089	0.376996	0.008848	2.3
831	-0.551345	99.922984	0.377829	0.036786	2.6
832	-0.495377	99.846690	0.378068	0.054912	2.8
833	-0.404417	99.085315	0.380465	0.048565	2.3
834	-0.477911	100.085315	0.377323	0.042508	2.2
835	-0.498526	101.085308	0.374232	0.025980	2.2
836	-0.493385	102.079124	0.371210	0.050384	2.2
837	-0.463388	101.344474	0.373439	0.012516	2.1
838	-0.526214	102.291412	0.370571	0.031601	2.2
839	-0.411977	103.182894	0.367911	0.037629	2.2
840	-0.483147	104.182447	0.364973	0.012930	2.5
841	-0.460285	104.256046	0.364759	0.019099	4.1
842	-0.426392	104.614852	0.363717	0.002800	2.1
843	-0.456335	104.628294	0.363678	0.011278	2.1
844	-0.493205	104.549360	0.363906	0.014154	2.1
845	-0.495420	104.633764	0.363662	0.023542	2.3
846	-0.569745	105.015816	0.362559	0.020151	2.2
847	-0.415469	104.353902	0.364474	0.044830	2.4
