1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.612979	0.000000	4.291309	0.054006	559.2
1	-0.600706	0.000000	4.291309	0.016451	2.2
2	-0.587554	0.999290	4.096382	0.043626	2.2
3	-0.614395	1.999254	3.918279	0.037114	2.1
4	-0.639345	2.991723	3.756191	0.005506	2.0
5	-0.576768	2.556341	3.825615	0.038462	2.4
6	-0.585945	2.122801	3.897343	0.026694	2.2
7	-0.592595	3.122765	3.735786	0.026278	2.3
8	-0.624566	4.122726	3.587091	0.023451	2.5
9	-0.589529	3.680183	3.651411	0.016322	2.3
10	-0.630971	4.678994	3.509386	0.018776	2.3
11	-0.576980	4.239814	3.570450	0.035912	2.2
12	-0.607570	3.797267	3.634170	0.024142	2.6
13	-0.580813	3.356172	3.699986	0.023496	2.1
14	-0.585768	2.913675	3.768450	0.031085	2.0
15	-0.616025	3.913675	3.617190	0.017647	2.0
16	-0.590532	4.764390	3.497754	0.021225	2.1
17	-0.596994	5.742237	3.369856	0.024385	2.3
18	-0.513309	6.739236	3.248737	0.013090	2.1
19	-0.599997	7.146613	3.201717	0.031233	2.1
20	-0.612716	7.646891	3.145804	0.019924	2.2
21	-0.595354	8.642979	3.040096	0.028501	2.3
22	-0.545964	9.309793	2.973214	0.047950	2.2
23	-0.570412	10.079825	2.899550	0.022428	2.2
24	-0.567464	9.637284	2.941432	0.028583	2.1
25	-0.657905	9.223698	2.981683	0.071396	2.2
26	-0.590753	8.781149	3.025991	0.029439	2.2
27	-0.591881	9.781149	2.927685	0.014164	2.4
28	-0.578922	9.880188	2.918295	0.022337	2.4
29	-0.632662	10.877916	2.826957	0.056791	2.1
30	-0.597461	11.877776	2.740985	0.051924	2.4
31	-0.609922	12.877776	2.660077	0.030695	2.4
32	-0.640034	12.435227	2.695286	0.012131	2.4
33	-0.587095	12.030422	2.728318	0.024779	2.6
34	-0.643393	11.590601	2.765138	0.011453	2.3
35	-0.606540	11.170523	2.801244	0.028823	2.4
36	-0.586208	12.169117	2.716910	0.025785	2.5
37	-0.553595	11.815024	2.746227	0.030170	2.3
38	-0.532943	11.372477	2.783769	0.016098	2.1
39	-0.591347	10.929969	2.822348	0.026636	2.1
40	-0.604590	10.487483	2.862010	0.015015	2.3
41	-0.597446	10.047644	2.902555	0.005778	2.4
42	-0.643817	9.778186	2.927966	0.013526	2.1
43	-0.582513	9.448745	2.959646	0.010501	2.3
44	-0.565807	9.394902	2.964888	0.028668	2.5
45	-0.702712	10.388214	2.871062	0.021188	2.3
46	-0.610339	9.945668	2.912120	0.019312	2.3
47	-0.623133	10.931112	2.822247	0.016454	2.1
48	-0.573206	11.464332	2.775892	0.010447	2.1
49	-0.579259	11.045014	2.812216	0.016712	2.4
50	-0.558384	10.671633	2.845369	0.026131	2.2
51	-0.637225	11.666847	2.758684	0.028704	2.9
52	-0.594488	12.666847	2.676743	0.008121	4.3
53	-0.631021	12.257703	2.709673	0.026603	2.3
54	-0.613343	13.181160	2.636467	0.013867	2.4
55	-0.619918	12.741951	2.670785	0.021583	2.4
56	-0.582153	12.789129	2.667056	0.057193	2.3
57	-0.632510	12.346580	2.702451	0.029064	2.8
58	-0.623226	11.904031	2.738798	0.012962	2.4
59	-0.609474	12.618353	2.680604	0.006488	2.4
60	-0.647335	13.228518	2.632819	0.037275	2.5
61	-0.634097	12.957530	2.653829	0.012885	2.5
62	-0.605481	12.524680	2.688094	0.043989	2.5
63	-0.614089	12.082244	2.724044	0.033672	3.2
64	-0.600564	11.639695	2.760978	0.012790	2.3
65	-0.572259	12.638929	2.678964	0.009712	2.1
66	-0.582992	12.718635	2.672632	0.019852	2.2
67	-0.611693	12.334564	2.703425	0.028238	2.5
68	-0.656637	13.334559	2.624688	0.032554	2.4
69	-0.584506	14.334559	2.550407	0.006416	2.6
70	-0.658806	15.248609	2.486095	0.012431	2.5
71	-0.661785	14.913855	2.509268	0.031340	2.4
72	-0.603890	14.471708	2.540546	0.015493	2.4
73	-0.597870	14.043058	2.571622	0.008433	2.6
74	-0.606515	14.447388	2.542289	0.010337	5.4
75	-0.556169	15.086265	2.497280	0.010197	2.2
76	-0.584445	15.295357	2.482893	0.017023	2.4
77	-0.640870	16.100438	2.429014	0.040773	2.5
78	-0.581476	15.657896	2.458338	0.011282	2.0
79	-0.657076	16.478948	2.404483	0.012588	2.5
80	-0.517060	16.743016	2.387660	0.035390	2.4
81	-0.654743	16.300692	2.415974	0.021565	2.3
82	-0.656451	17.300331	2.352917	0.028101	2.5
83	-0.566670	18.300324	2.293047	0.015764	2.4
84	-0.603072	19.288455	2.236807	0.058342	2.1
85	-0.571402	18.845906	2.261650	0.011550	2.0
86	-0.569533	18.403370	2.287050	0.025590	2.2
87	-0.594465	17.961574	2.312984	0.049661	2.0
88	-0.590848	17.519025	2.339558	0.041028	2.2
89	-0.556836	18.519025	2.280357	0.021080	2.3
90	-0.569959	18.076477	2.306183	0.039949	2.2
91	-0.603318	19.076449	2.248640	0.016246	2.1
92	-0.631941	20.076098	2.193916	0.031399	2.2
93	-0.498205	21.075840	2.141787	0.022924	2.9
94	-0.578532	22.075746	2.092070	0.023917	2.9
95	-0.603326	23.075659	2.044609	0.016228	2.3
96	-0.650004	22.636055	2.065207	0.016473	2.3
97	-0.612739	22.214967	2.085331	0.004815	2.3
98	-0.630019	22.146882	2.088621	0.011487	2.3
99	-0.656993	22.146165	2.088656	0.027230	2.2
100	-0.617716	23.131414	2.042026	0.009758	2.1
101	-0.586814	23.730691	2.014668	0.013333	2.5
102	-0.539847	23.548975	2.022886	0.018320	2.1
103	-0.519607	24.138454	1.996468	0.032040	2.1
104	-0.639195	23.696014	2.016231	0.013722	2.1
105	-0.585551	24.690261	1.972357	0.010649	2.2
106	-0.589840	24.839369	1.965941	0.036375	2.2
107	-0.645328	24.398219	1.985045	0.010427	2.4
108	-0.626093	25.247795	1.948579	0.022589	2.1
109	-0.660384	24.960747	1.960749	0.029453	2.6
110	-0.609599	24.518199	1.979812	0.014752	3.5
111	-0.578271	25.515536	1.937363	0.021030	2.2
112	-0.640657	25.078417	1.955742	0.008935	2.4
113	-0.592734	24.681130	1.972751	0.021283	2.6
114	-0.594469	24.368316	1.986353	0.035883	2.2
115	-0.627006	24.312933	1.988781	0.020107	2.2
116	-0.623593	25.312932	1.945839	0.005940	2.3
117	-0.582891	25.217578	1.949853	0.021275	2.2
118	-0.602671	26.067341	1.914650	0.020332	2.3
119	-0.585187	27.061740	1.875036	0.024354	2.4
120	-0.623057	26.619215	1.892461	0.051801	2.2
121	-0.560903	26.176666	1.910213	0.019077	2.2
122	-0.551326	27.176255	1.870579	0.017363	2.2
