1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.563483	0.000000	5.790782	0.038166	465.0
1	-0.547145	0.000000	5.790782	0.049654	1.9
2	-0.503707	0.000000	5.790782	0.025163	2.0
3	-0.543710	0.000000	5.790782	0.013426	1.9
4	-0.578433	1.000000	5.527565	0.022998	2.0
5	-0.585913	0.888417	5.555743	0.007807	2.2
6	-0.521560	1.888417	5.313012	0.015252	2.1
7	-0.505820	1.777331	5.338923	0.002847	1.9
8	-0.597589	2.525730	5.169082	0.014087	1.9
9	-0.550064	3.289540	5.006535	0.023606	2.1
10	-0.600850	4.289540	4.808566	0.007044	2.5
11	-0.557185	5.074049	4.663887	0.021267	2.0
12	-0.571036	5.168795	4.647001	0.008292	2.1
13	-0.577850	5.057213	4.666901	0.003548	1.9
14	-0.569055	5.565625	4.577586	0.006965	2.2
15	-0.546276	5.507878	4.587558	0.010884	7.9
16	-0.527757	5.396882	4.606848	0.010220	2.1
17	-0.592327	6.396780	4.438712	0.005596	2.1
18	-0.559359	6.305301	4.453583	0.011147	2.9
19	-0.540436	6.376907	4.441934	0.011004	2.6
20	-0.547618	7.376869	4.285407	0.018871	2.3
21	-0.489026	8.376846	4.139533	0.006135	1.9
22	-0.562470	8.265289	4.155313	0.020516	2.2
23	-0.552062	9.260287	4.018680	0.004571	1.9
24	-0.522100	9.149190	4.033489	0.010246	2.6
25	-0.515688	9.054851	4.046150	0.003545	2.2
26	-0.531874	9.771208	3.951955	0.001529	2.3
27	-0.538072	9.817054	3.946076	0.012320	2.5
28	-0.512411	9.794955	3.948907	0.006477	2.7
29	-0.541109	9.701666	3.960906	0.011389	2.5
30	-0.498482	9.805625	3.947540	0.012208	2.6
31	-0.594362	9.818069	3.945946	0.016227	2.2
32	-0.587828	9.706486	3.960285	0.030739	2.2
33	-0.505617	10.706486	3.835380	0.005141	2.4
34	-0.511453	10.904343	3.811595	0.014194	2.7
35	-0.530320	10.792875	3.824958	0.028695	2.3
36	-0.467235	10.698506	3.836346	0.006256	2.4
37	-0.584701	11.698505	3.719021	0.008034	2.6
38	-0.571525	11.588462	3.731579	0.015035	2.1
39	-0.571930	11.476880	3.744400	0.013264	2.5
40	-0.527297	11.365297	3.757309	0.010825	2.2
41	-0.520494	12.364908	3.644740	0.009174	2.1
42	-0.541842	13.363060	3.538871	0.016146	2.9
43	-0.562006	14.363052	3.438799	0.006875	2.3
44	-0.559878	14.251473	3.449683	0.018395	2.6
45	-0.541240	15.251450	3.354526	0.015700	2.3
46	-0.577065	15.139867	3.364883	0.016624	2.5
47	-0.518816	16.139867	3.274283	0.016132	2.3
48	-0.600489	16.028284	3.284150	0.003801	2.2
49	-0.502357	15.997180	3.286911	0.011729	2.6
50	-0.516921	15.889294	3.296523	0.005391	2.7
51	-0.554901	16.785168	3.218364	0.009151	2.5
52	-0.563947	17.045704	3.196325	0.022892	2.1
53	-0.488403	18.045704	3.114464	0.008521	2.1
54	-0.603022	17.934121	3.123389	0.003475	2.4
55	-0.558380	18.505304	3.078230	0.007444	2.3
56	-0.575770	18.659233	3.066283	0.008332	2.0
57	-0.551866	19.286511	3.018539	0.010658	2.0
58	-0.599248	19.896373	2.973526	0.010754	2.0
59	-0.533957	20.107142	2.958280	0.004886	2.2
60	-0.500499	20.003731	2.965740	0.005407	2.0
61	-0.529746	20.389509	2.938098	0.006689	2.1
62	-0.621359	20.484274	2.931386	0.010226	2.8
63	-0.563177	20.378019	2.938914	0.006953	2.7
64	-0.569656	20.266575	2.946850	0.031124	2.5
65	-0.578845	21.266574	2.877130	0.004318	2.0
66	-0.505176	21.155014	2.884744	0.011439	2.0
67	-0.506475	21.947575	2.831508	0.003023	2.5
68	-0.588861	21.852774	2.837772	0.014944	2.0
69	-0.579858	21.744423	2.844966	0.017692	2.5
70	-0.513886	22.742482	2.780053	0.011379	2.0
71	-0.497195	22.631334	2.787135	0.002713	2.1
72	-0.556390	22.575345	2.790716	0.016181	2.2
73	-0.566289	22.488273	2.796304	0.010711	2.2
74	-0.582090	22.376690	2.803497	0.015298	2.4
75	-0.598631	22.265135	2.810726	0.005335	2.4
76	-0.617081	22.979185	2.765090	0.005592	2.2
77	-0.562701	22.880807	2.771290	0.018048	2.1
78	-0.538178	22.926189	2.768426	0.005281	2.0
79	-0.531252	23.917640	2.707320	0.008944	2.0
80	-0.566803	23.826252	2.712839	0.016307	1.7
81	-0.596014	23.715461	2.719561	0.006200	2.4
82	-0.543567	23.603884	2.726364	0.009543	2.2
83	-0.593033	23.547605	2.729808	0.016237	2.3
84	-0.559662	23.436073	2.736660	0.010500	1.9
85	-0.569720	24.436072	2.676429	0.008120	2.1
86	-0.577408	24.335155	2.682387	0.010126	2.2
87	-0.544185	24.228745	2.688698	0.006817	2.1
88	-0.535722	24.215458	2.689488	0.005077	2.3
89	-0.570971	24.935816	2.647312	0.010445	1.9
90	-0.538267	24.980570	2.644735	0.020598	2.0
91	-0.598264	25.980570	2.588441	0.012226	2.2
92	-0.653170	26.980570	2.534493	0.005752	11.0
93	-0.619342	26.871010	2.540294	0.010579	1.8
94	-0.548411	26.785191	2.544856	0.003527	1.9
95	-0.532484	27.112326	2.527552	0.010797	1.9
96	-0.528444	27.810226	2.491413	0.010336	1.9
97	-0.531465	28.809797	2.441416	0.002665	2.0
98	-0.569583	28.735827	2.445047	0.006757	2.1
99	-0.559821	28.796308	2.442077	0.010147	2.2
100	-0.506089	29.444112	2.410716	0.009187	2.1
101	-0.544365	30.402857	2.365752	0.004975	2.3
102	-0.547921	30.300801	2.370459	0.000560	2.2
103	-0.544949	30.312298	2.369927	0.010186	2.0
104	-0.562261	30.352459	2.368074	0.002378	2.1
105	-0.569613	30.858913	2.344947	0.011754	2.7
106	-0.570254	31.049391	2.336366	0.023365	2.7
107	-0.572459	32.049160	2.292335	0.002997	2.0
108	-0.504629	33.007447	2.251660	0.005696	2.0
109	-0.502540	33.286674	2.240079	0.013476	2.1
110	-0.577989	33.283377	2.240215	0.009102	1.8
111	-0.524804	33.171871	2.244826	0.009121	2.4
112	-0.569131	34.169831	2.204220	0.011620	2.2
113	-0.523143	34.058301	2.208685	0.006894	2.1
114	-0.532744	34.157698	2.204704	0.011238	2.7
115	-0.508484	35.119166	2.166932	0.008666	2.8
116	-0.543546	35.981379	2.134143	0.018343	1.9
117	-0.579358	36.958061	2.098180	0.015637	2.2
118	-0.552558	37.958061	2.062592	0.003957	2.2
119	-0.531054	38.799022	2.033585	0.010205	2.2
120	-0.602554	38.724085	2.036137	0.006604	2.0
121	-0.580900	38.612625	2.039944	0.002905	2.1
122	-0.601594	38.661688	2.038267	0.015219	2.1
123	-0.519893	38.697977	2.037028	0.014819	2.2
124	-0.544902	38.586394	2.040842	0.002815	2.1
125	-0.595493	38.478640	2.044539	0.011064	2.1
126	-0.635151	39.112410	2.022984	0.008154	1.8
