1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.338821	0.000000	3.930270	0.103105	484.1
1	-1.310837	0.000000	3.930270	0.081678	1.7
2	-1.372927	0.000000	3.930270	0.077622	2.0
3	-1.398284	0.000000	3.930270	0.072824	1.7
4	-1.380170	0.000000	3.930270	0.075181	2.0
5	-1.454829	0.000000	3.930270	0.079406	1.8
6	-1.453599	0.000000	3.930270	0.071384	1.9
7	-1.498895	0.000000	3.930270	0.055841	1.9
8	-1.486569	0.000000	3.930270	0.043651	13.1
9	-1.491125	0.000000	3.930270	0.044906	2.6
10	-1.508009	0.000000	3.930270	0.037057	3.0
11	-1.476444	0.000000	3.930270	0.033678	2.5
12	-1.511071	0.000000	3.930270	0.037152	2.6
13	-1.497907	0.000000	3.930270	0.032054	2.6
14	-1.534328	0.000000	3.930270	0.028038	2.7
15	-1.506754	0.000000	3.930270	0.030919	2.6
16	-1.483671	0.000000	3.930270	0.022365	2.5
17	-1.527548	0.000000	3.930270	0.020857	2.5
18	-1.550718	0.000000	3.930270	0.025589	2.7
19	-1.490760	0.000000	3.930270	0.023088	2.4
20	-1.502593	0.000000	3.930270	0.027524	2.6
21	-1.503524	0.000000	3.930270	0.024875	2.5
22	-1.539223	0.000000	3.930270	0.023099	2.5
23	-1.505660	0.000000	3.930270	0.019967	2.7
24	-1.542678	0.000000	3.930270	0.025176	2.6
25	-1.484065	0.000000	3.930270	0.025524	2.7
26	-1.559944	0.000000	3.930270	0.018255	3.8
27	-1.554740	0.000000	3.930270	0.019887	2.8
28	-1.552767	0.000000	3.930270	0.019067	2.5
29	-1.511459	0.000000	3.930270	0.020702	2.7
30	-1.511609	0.000000	3.930270	0.016161	2.8
31	-1.588467	0.000000	3.930270	0.020913	2.4
32	-1.546274	0.000000	3.930270	0.013726	2.5
33	-1.605570	0.000000	3.930270	0.011474	2.8
34	-1.475645	0.000000	3.930270	0.020917	2.6
35	-1.519110	0.999949	3.751630	0.013470	3.1
36	-1.571566	1.999949	3.588516	0.011496	2.6
37	-1.478074	1.978671	3.591838	0.014603	2.5
38	-1.552235	1.957394	3.595167	0.017663	2.6
39	-1.566928	2.957394	3.445102	0.016100	2.6
40	-1.589164	3.957394	3.307063	0.017696	2.6
