1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.853783	0.000000	6.912289	0.044958	477.0
1	-0.799838	0.000000	6.912289	0.052063	2.5
2	-0.796282	0.000000	6.912289	0.045693	2.4
3	-0.860925	0.000000	6.912289	0.040438	2.4
4	-0.862289	0.000000	6.912289	0.045899	3.3
5	-0.885137	0.000000	6.912289	0.046387	2.5
6	-0.874966	0.000000	6.912289	0.019285	2.3
7	-0.890175	0.000000	6.912289	0.023313	2.4
8	-0.875714	0.000000	6.912289	0.009547	2.5
9	-0.945954	0.999925	6.598117	0.010331	2.4
10	-0.896469	0.936387	6.617228	0.012178	2.4
11	-0.926817	1.936383	6.328726	0.008368	2.5
12	-0.937254	1.872845	6.346306	0.012538	2.5
13	-0.969661	1.811538	6.363362	0.009973	2.5
14	-0.929167	1.747999	6.381136	0.005277	2.5
15	-0.905091	1.684461	6.399009	0.006854	2.4
16	-0.936858	1.817198	6.361784	0.008924	2.5
17	-0.925364	1.758510	6.378189	0.010299	2.4
18	-0.901774	2.020284	6.305660	0.010946	2.8
19	-0.948317	3.020224	6.043161	0.009257	2.4
20	-0.916057	3.238904	5.988640	0.004823	2.4
21	-0.888843	3.175906	6.004246	0.007590	2.4
22	-0.927262	3.119908	6.018185	0.008460	2.4
23	-0.899317	3.144372	6.012088	0.007645	2.4
24	-0.871259	4.136895	5.774702	0.007437	2.5
25	-0.938062	5.135044	5.554155	0.006095	2.5
26	-0.915916	5.119100	5.557545	0.008197	2.4
27	-0.886358	5.055628	5.571083	0.004080	1.8
28	-0.854275	4.992703	5.584570	0.009994	1.9
29	-0.938384	4.929914	5.598093	0.013471	2.0
30	-0.947921	4.876368	5.609677	0.008459	2.1
31	-0.938059	4.812830	5.623486	0.011170	1.6
32	-0.859497	5.810210	5.414284	0.009992	1.8
33	-0.928523	6.126240	5.351205	0.009832	1.9
34	-0.883347	6.898795	5.203023	0.016235	2.0
35	-0.862262	7.898795	5.022980	0.009872	1.7
36	-0.887692	8.898795	4.854981	0.006826	2.0
37	-0.979450	8.836176	4.865170	0.013173	2.1
38	-0.861640	9.836142	4.707401	0.008700	1.8
39	-0.886102	9.776681	4.716496	0.017718	1.7
40	-0.904984	9.713142	4.726253	0.015672	1.7
41	-0.859717	10.713142	4.577222	0.015297	10.6
42	-0.931599	11.713142	4.437302	0.003232	1.9
43	-0.837521	12.712970	4.305704	0.016178	2.0
44	-0.866391	12.649435	4.313834	0.014502	2.3
45	-0.818695	13.649435	4.189335	0.010538	1.9
46	-0.909456	13.585917	4.197028	0.008731	1.6
47	-0.905313	13.522378	4.204753	0.019471	2.2
48	-0.859836	14.522378	4.086384	0.006543	2.2
49	-0.864801	15.438485	3.983647	0.016982	2.6
50	-0.930541	15.375174	3.990581	0.002438	2.0
51	-0.858355	16.125620	3.909917	0.009833	1.8
52	-0.962869	16.879240	3.832127	0.011948	2.2
53	-0.957075	17.879240	3.733563	0.013195	2.1
54	-0.957292	17.815702	3.739674	0.015063	2.3
55	-0.915171	18.815702	3.645750	0.004098	2.1
56	-0.811223	19.770581	3.560363	0.010669	1.9
57	-0.845230	19.741529	3.562902	0.010443	1.6
58	-0.884609	19.677991	3.568467	0.006286	2.0
59	-0.958388	19.614452	3.574050	0.005862	2.1
60	-0.914731	20.512517	3.496730	0.004794	2.3
61	-0.860003	21.471527	3.417774	0.001361	1.8
62	-0.976687	21.560248	3.410649	0.004829	1.9
63	-0.926907	21.658795	3.402770	0.007426	2.3
64	-0.907832	21.595430	3.407832	0.002969	1.9
65	-0.850461	21.715058	3.398288	0.008019	2.0
66	-0.862241	21.735995	3.396623	0.010184	1.9
67	-0.901092	22.382462	3.346008	0.002792	2.0
68	-0.871864	22.411818	3.343746	0.011004	2.0
69	-0.924767	22.349283	3.348569	0.006020	2.2
70	-0.955353	22.285751	3.353484	0.004977	1.9
71	-0.945742	23.231150	3.281807	0.005639	1.9
72	-0.910571	23.170913	3.286282	0.003585	1.8
73	-0.957270	23.112382	3.290642	0.005650	1.8
74	-0.880380	23.051869	3.295163	0.009289	1.7
75	-0.928425	23.444032	3.266087	0.009462	2.2
76	-0.908147	24.418258	3.196029	0.010008	1.9
77	-0.898843	24.354719	3.200507	0.006321	1.9
78	-0.939446	24.314616	3.203339	0.013027	2.5
79	-0.948454	24.251158	3.207831	0.008399	2.4
80	-0.917041	25.251157	3.138474	0.010802	2.6
81	-0.890860	25.238890	3.139307	0.029324	2.4
82	-0.878566	26.238890	3.072851	0.011756	2.4
83	-0.925038	26.175355	3.076990	0.009475	2.5
84	-0.870264	26.111816	3.081139	0.004632	2.5
85	-0.911484	26.048391	3.085293	0.014005	2.5
86	-0.938852	25.997533	3.088632	0.005194	2.9
87	-0.913568	26.996071	3.024374	0.008466	2.8
88	-0.936955	26.932541	3.028383	0.006725	2.4
89	-0.905004	26.871480	3.032245	0.006744	2.5
90	-0.909222	27.635991	2.984581	0.003421	3.8
91	-0.809251	27.600167	2.986781	0.018222	2.3
92	-0.896618	28.572662	2.928188	0.005598	2.5
93	-0.866882	29.572636	2.870289	0.008541	2.4
94	-0.968724	29.509103	2.873899	0.019593	2.4
95	-0.860462	29.445565	2.877519	0.011367	2.5
96	-0.971064	30.445565	2.821586	0.013013	2.5
97	-0.924831	30.382040	2.825074	0.010500	2.5
98	-0.922231	30.318501	2.828572	0.013641	2.5
99	-0.891634	31.314979	2.774694	0.015515	2.5
100	-0.888990	32.314979	2.722651	0.008935	2.5
101	-0.913463	32.251441	2.725900	0.006758	2.4
102	-0.898328	32.187909	2.729156	0.010171	2.4
103	-0.891942	32.124374	2.732420	0.010462	2.3
104	-0.948329	32.060835	2.735692	0.008940	2.3
105	-0.917627	32.557687	2.710313	0.012471	2.4
106	-0.958127	32.864529	2.694873	0.008477	2.3
107	-0.984624	32.800991	2.698056	0.005470	2.5
108	-0.886762	32.738852	2.701176	0.009377	2.5
109	-0.893200	33.397379	2.668476	0.009938	2.4
110	-0.971894	33.456978	2.665555	0.007660	2.5
111	-0.920107	33.393455	2.668668	0.010616	2.6
112	-0.971589	33.497849	2.663556	0.007102	2.4
113	-0.879793	33.434311	2.666665	0.009759	2.4
114	-0.936547	33.370772	2.669781	0.009883	2.5
115	-0.892503	33.307328	2.672900	0.012910	2.5
116	-0.873993	33.243789	2.676031	0.011860	3.4
117	-0.902454	33.180251	2.679170	0.011765	2.4
118	-0.919848	33.116712	2.682315	0.014280	2.4
119	-0.934121	33.053174	2.685468	0.015714	2.2
120	-0.945243	32.989635	2.688629	0.016000	2.3
121	-0.949781	32.926096	2.691796	0.008339	2.2
122	-0.957960	32.862558	2.694972	0.010741	1.9
123	-0.931097	32.799019	2.698155	0.012559	2.1
124	-0.892268	32.736255	2.701306	0.013475	2.1
125	-0.898489	32.672717	2.704504	0.018541	2.0
126	-0.931423	32.609297	2.707703	0.012049	2.4
127	-0.899789	32.545759	2.710916	0.011142	2.9
128	-0.917237	32.482220	2.714137	0.012772	2.8
129	-0.969806	32.418682	2.717365	0.016657	2.0
130	-0.896562	32.355143	2.720601	0.011571	1.7
131	-0.953368	32.291605	2.723845	0.012620	1.6
132	-0.945922	32.228066	2.727097	0.020557	1.9
133	-0.873462	32.164528	2.730356	0.021547	2.1
134	-1.030881	32.100989	2.733623	0.016051	1.8
135	-0.939671	32.037451	2.736898	0.022573	2.6
136	-0.930881	31.974078	2.740172	0.019011	1.8
137	-0.955493	32.974055	2.689405	0.023192	2.1
138	-0.929676	32.910517	2.692574	0.013983	2.1
139	-0.961184	32.846978	2.695752	0.010189	2.1
140	-0.932836	32.783439	2.698936	0.016014	2.1
141	-0.886559	32.719901	2.702129	0.016364	1.9
142	-0.890881	32.656362	2.705328	0.015755	2.1
143	-0.938086	32.592824	2.708536	0.014965	1.8
144	-0.925763	32.529285	2.711751	0.025188	1.6
145	-0.917339	32.465747	2.714973	0.017082	1.9
146	-0.935057	32.402208	2.718204	0.020792	2.2
147	-0.971670	32.338670	2.721442	0.019554	1.8
148	-0.958287	32.275131	2.724687	0.021349	2.0
149	-0.944044	32.211593	2.727941	0.017900	1.6
150	-0.969460	32.148054	2.731202	0.018087	2.0
151	-0.877177	32.084516	2.734471	0.019068	1.9
152	-0.911172	32.020977	2.737748	0.017125	2.0
153	-0.958997	31.957439	2.741033	0.021444	1.9
154	-0.934429	31.893900	2.744325	0.025247	1.8
155	-0.959439	31.830362	2.747626	0.019814	2.0
156	-0.945265	31.766823	2.750935	0.022500	3.2
157	-0.943741	31.703285	2.754251	0.026747	2.0
158	-0.935560	31.639746	2.757576	0.013665	2.0
159	-0.944433	31.576207	2.760908	0.019571	2.0
160	-0.934050	31.512669	2.764249	0.026263	2.1
161	-0.956179	31.449130	2.767597	0.024761	2.0
162	-0.904985	31.385592	2.770954	0.020954	2.0
163	-0.929988	31.322053	2.774319	0.026534	2.1
164	-0.941978	31.258515	2.777692	0.024315	2.3
165	-0.997159	31.194976	2.781074	0.034252	2.4
166	-0.921139	31.131438	2.784463	0.027369	2.1
167	-0.993076	31.067899	2.787861	0.023720	2.1
168	-0.982532	31.004361	2.791267	0.024487	2.2
169	-0.984968	30.940822	2.794682	0.028392	2.1
170	-1.014987	30.877284	2.798105	0.027854	2.1
171	-0.973050	30.813745	2.801536	0.024187	2.7
172	-0.957891	30.750207	2.804976	0.019805	2.5
173	-1.013066	30.686668	2.808424	0.018683	2.8
174	-1.007655	30.623130	2.811881	0.024461	3.8
175	-1.003218	30.559591	2.815346	0.022397	2.6
176	-0.963307	30.496052	2.818819	0.017195	2.8
177	-1.041038	30.432514	2.822302	0.023047	2.9
178	-0.974156	30.368975	2.825793	0.021699	2.5
179	-0.979135	30.305437	2.829292	0.027254	10.4
180	-0.960964	30.241898	2.832801	0.017350	2.5
181	-0.941824	30.178360	2.836317	0.014476	2.4
182	-1.005020	30.114821	2.839843	0.018899	2.5
183	-0.996059	30.051283	2.843378	0.024113	2.5
184	-0.929440	29.987744	2.846921	0.019817	2.7
185	-0.984138	29.924206	2.850473	0.019508	2.6
186	-1.028949	29.860667	2.854034	0.014977	2.5
187	-0.941058	29.797129	2.857604	0.011805	2.5
188	-0.959366	29.733590	2.861183	0.016034	2.3
189	-1.005481	29.670052	2.864771	0.019226	2.5
190	-1.027085	29.606513	2.868367	0.007110	2.5
191	-0.944505	29.542975	2.871973	0.013466	2.2
192	-0.948414	29.479436	2.875588	0.009183	2.5
193	-0.950952	29.415898	2.879212	0.016978	2.5
194	-0.969914	30.415344	2.823244	0.013128	2.4
195	-1.005771	31.415344	2.769381	0.010398	2.5
196	-0.918378	31.351806	2.772742	0.003718	2.4
197	-1.042831	31.289770	2.776032	0.011829	2.4
198	-0.897399	31.240366	2.778657	0.018362	2.4
199	-0.950652	31.176827	2.782041	0.006548	2.7
200	-1.014767	32.165714	2.730295	0.016023	2.4
201	-0.928840	32.118371	2.732728	0.009218	2.4
202	-0.988224	33.118371	2.682233	0.011850	2.4
203	-0.989733	33.054832	2.685386	0.009980	2.4
204	-0.927941	34.054832	2.636609	0.011928	2.5
205	-0.998976	35.054832	2.589573	0.011470	2.4
206	-0.984114	35.079343	2.588441	0.010198	2.4
207	-0.993057	36.079229	2.543098	0.005127	2.3
208	-0.935095	36.189128	2.538211	0.004866	2.4
209	-0.949432	36.127293	2.540958	0.008413	2.5
210	-0.956234	36.956764	2.504592	0.014199	2.5
211	-1.003263	36.893226	2.507341	0.009018	2.4
212	-0.950359	36.835706	2.509835	0.016829	1.9
213	-0.966119	37.835706	2.467177	0.015022	1.8
214	-0.953095	38.835706	2.425944	0.009795	1.8
