1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.592171	0.000000	0.225205	0.087943	822.2
1	-0.601899	0.000000	0.225205	0.045596	1.6
2	-0.589628	0.000000	0.225205	0.012506	1.5
3	-0.569989	0.299597	0.222037	0.029300	1.5
4	-0.556892	0.415967	0.220831	0.096094	1.7
5	-0.617666	1.088497	0.214107	0.069035	1.7
6	-0.616350	0.261245	0.222438	0.248291	1.6
7	-0.602672	1.261245	0.212446	0.050073	1.5
8	-0.570221	2.255694	0.203361	0.144814	1.6
9	-0.557919	1.469170	0.210480	0.081516	1.7
10	-0.576085	0.641066	0.218534	0.051542	1.5
11	-0.521604	0.000000	0.225205	0.112447	1.7
12	-0.618275	0.000000	0.225205	0.059721	1.5
13	-0.584879	0.993946	0.215028	0.078479	1.5
14	-0.587321	0.189240	0.223194	0.098554	1.5
15	-0.568567	1.180901	0.213215	0.026759	1.5
16	-0.626317	0.879003	0.216157	0.057582	1.5
17	-0.564832	1.396535	0.211162	0.129635	1.5
18	-0.599863	0.569709	0.219257	0.016964	1.7
19	-0.529899	1.398340	0.211145	0.060572	1.6
20	-0.590701	0.965610	0.215305	0.171115	1.7
21	-0.597607	0.137509	0.223740	0.125133	1.5
22	-0.642415	0.000000	0.225205	0.120164	1.5
23	-0.571973	0.000000	0.225205	0.160792	1.6
24	-0.635788	1.000000	0.214969	0.122783	1.5
25	-0.573529	0.171893	0.223377	0.047017	1.5
26	-0.598012	1.050475	0.214476	0.027939	1.6
27	-0.595353	1.600590	0.209256	0.072110	1.5
28	-0.681671	1.829650	0.207156	0.036494	1.8
29	-0.578112	1.394489	0.211182	0.150720	1.6
30	-0.604766	2.000507	0.205618	0.172096	1.5
31	-0.617928	3.000507	0.197050	0.052544	1.5
32	-0.649668	2.215383	0.203714	0.189088	1.5
33	-0.609936	3.213637	0.195316	0.148868	1.5
34	-0.596065	4.213637	0.187569	0.036021	1.5
35	-0.553554	3.690298	0.191545	0.035321	7.5
36	-0.524673	4.006110	0.189126	0.065387	3.5
37	-0.607890	3.346148	0.194253	0.044902	2.3
38	-0.587284	4.077026	0.188591	0.114738	2.1
39	-0.593260	3.273432	0.194835	0.052782	8.2
40	-0.563860	4.247466	0.187318	0.014695	3.8
41	-0.602038	4.392444	0.186249	0.082068	1.9
42	-0.606293	4.185624	0.187778	0.071385	2.6
43	-0.549511	3.358829	0.194152	0.033420	1.6
44	-0.568301	4.175265	0.187855	0.025097	1.6
45	-0.564241	3.849100	0.190321	0.042658	2.7
46	-0.564134	3.922429	0.189761	0.055713	1.7
47	-0.597521	3.238955	0.195112	0.037335	1.5
48	-0.622253	3.518368	0.192888	0.102752	1.5
49	-0.595201	3.325058	0.194421	0.094280	1.6
50	-0.580132	2.496966	0.201273	0.149317	2.2
51	-0.653433	1.668859	0.208626	0.037398	3.6
52	-0.594141	0.852004	0.216424	0.099455	2.9
53	-0.583483	1.684895	0.208478	0.032817	1.9
54	-0.595331	0.911437	0.215837	0.034591	1.5
55	-0.548213	1.351816	0.211585	0.055573	1.5
56	-0.578435	1.960293	0.205978	0.051909	1.7
57	-0.586543	1.269993	0.212362	0.143009	1.7
58	-0.589349	0.444448	0.220538	0.081618	1.9
59	-0.562190	0.268009	0.222367	0.098650	1.6
60	-0.557219	0.000000	0.225205	0.022327	2.3
61	-0.572910	0.540713	0.219552	0.081774	1.7
62	-0.658202	0.943245	0.215525	0.045619	1.6
63	-0.610193	0.134139	0.223776	0.100958	1.8
64	-0.578736	1.120226	0.213800	0.020258	1.7
65	-0.624163	0.448113	0.220500	0.062844	1.7
66	-0.617898	0.000000	0.225205	0.056505	1.5
67	-0.617802	0.444464	0.220537	0.197757	1.5
68	-0.625983	1.428736	0.210859	0.021989	1.9
69	-0.611368	0.786361	0.217077	0.133822	1.7
70	-0.579420	1.258202	0.212475	0.039358	1.9
71	-0.662073	0.533696	0.219624	0.112670	1.7
72	-0.606131	0.000000	0.225205	0.105953	1.6
73	-0.552002	0.999997	0.214969	0.047073	1.5
74	-0.585654	1.994345	0.205673	0.068725	1.8
75	-0.522503	2.918124	0.197729	0.112888	1.7
76	-0.606549	2.090715	0.204814	0.075534	1.7
77	-0.560188	1.262817	0.212431	0.096825	1.9
78	-0.587494	0.959118	0.215369	0.022954	1.9
79	-0.592787	1.446054	0.210697	0.145697	1.5
80	-0.642273	2.269156	0.203244	0.045548	1.8
81	-0.550744	3.251670	0.195010	0.046948	1.5
82	-0.644025	4.047610	0.188813	0.025952	1.6
83	-0.654731	3.694349	0.191514	0.093593	1.5
84	-0.558457	4.507116	0.185411	0.023915	1.5
85	-0.639106	3.807802	0.190638	0.144206	1.5
86	-0.574889	3.002677	0.197033	0.042240	2.4
87	-0.609860	2.658185	0.199902	0.177133	1.7
88	-0.540798	3.114405	0.196120	0.021394	2.3
89	-0.554589	4.088834	0.188502	0.069557	2.6
90	-0.596730	3.759418	0.191010	0.028143	2.4
91	-0.619671	3.093120	0.196293	0.078068	1.5
