1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.536616	0.000000	0.362244	0.120262	836.5
1	-0.652167	0.000000	0.362244	0.024998	2.1
2	-0.559576	0.000000	0.362244	0.151036	1.8
3	-0.619298	0.999356	0.345788	0.082666	1.6
4	-0.618066	1.999356	0.330753	0.098698	1.7
5	-0.607919	1.218088	0.342384	0.159464	1.6
6	-0.602557	1.938941	0.331624	0.013380	1.7
7	-0.627505	1.199645	0.342668	0.099974	1.7
8	-0.611656	1.509791	0.337947	0.085720	2.0
9	-0.559106	0.728523	0.350098	0.153993	1.5
10	-0.565592	1.728387	0.334697	0.030976	2.1
11	-0.590400	0.947228	0.346609	0.043830	1.5
12	-0.557470	0.485247	0.354062	0.150026	1.8
13	-0.577110	1.484804	0.338322	0.150896	1.6
14	-0.546984	2.484804	0.323916	0.040613	1.6
15	-0.560583	1.703537	0.335063	0.071478	1.5
16	-0.568796	0.970615	0.346240	0.067237	1.9
17	-0.518696	0.189538	0.359003	0.028721	1.5
18	-0.558865	1.139998	0.343591	0.086905	1.7
19	-0.616602	2.121148	0.329011	0.036529	2.7
20	-0.588121	1.345025	0.340439	0.043787	1.6
21	-0.619087	2.302620	0.326449	0.072077	1.5
22	-0.657943	1.631819	0.336125	0.053047	1.7
23	-0.536323	0.850626	0.348142	0.035994	1.6
24	-0.604777	0.086601	0.360756	0.060223	2.1
25	-0.568502	0.000000	0.362244	0.135646	1.7
26	-0.559168	1.000000	0.345778	0.081763	1.8
27	-0.549935	2.000000	0.330744	0.085111	1.9
28	-0.572881	3.000000	0.316963	0.173649	1.8
29	-0.554435	4.000000	0.304285	0.049741	1.6
30	-0.576478	3.218732	0.314100	0.115329	2.0
31	-0.580490	2.437466	0.324571	0.021722	1.6
32	-0.614119	3.211158	0.314199	0.053838	2.7
33	-0.605819	4.058298	0.303577	0.067819	3.8
34	-0.592370	3.705664	0.307910	0.164215	3.0
35	-0.630939	4.705664	0.295931	0.043931	2.3
36	-0.511226	3.924400	0.305207	0.027828	2.3
37	-0.607267	4.813021	0.294701	0.032041	2.3
38	-0.619577	5.291495	0.289337	0.117447	2.3
39	-0.580671	4.511109	0.298188	0.026593	2.3
40	-0.613107	3.730595	0.307599	0.031587	2.9
41	-0.593956	3.162717	0.314829	0.092671	2.2
42	-0.621182	2.382746	0.325330	0.155721	2.2
43	-0.568203	1.601478	0.336576	0.051594	2.9
44	-0.598748	2.601478	0.322315	0.152407	2.3
45	-0.591786	2.067591	0.329775	0.052169	1.9
46	-0.614749	1.286324	0.341336	0.105995	1.5
47	-0.607188	0.505057	0.353736	0.068172	1.6
48	-0.570446	1.505057	0.338018	0.105341	1.6
49	-0.612657	2.505057	0.323637	0.191544	1.7
50	-0.592471	3.505057	0.310430	0.138562	2.0
51	-0.561295	2.723789	0.320653	0.069799	1.9
52	-0.614500	2.060465	0.329877	0.096589	1.5
53	-0.510778	2.966815	0.317402	0.032756	1.7
54	-0.566516	3.870806	0.305865	0.047716	1.7
55	-0.569649	4.156796	0.302388	0.043962	1.8
56	-0.578764	3.388905	0.311909	0.119595	1.7
57	-0.610477	4.388899	0.299624	0.088718	1.7
58	-0.623506	5.388643	0.288272	0.060944	1.8
59	-0.571199	4.722799	0.295734	0.017445	2.0
60	-0.599568	5.036941	0.292166	0.050757	1.5
61	-0.545454	5.258514	0.289701	0.092323	1.7
62	-0.592524	6.257837	0.279080	0.091205	1.8
63	-0.595340	7.257837	0.269204	0.033112	1.8
64	-0.535506	6.684118	0.274783	0.106768	1.6
65	-0.569082	6.298619	0.278663	0.058635	1.5
66	-0.595739	5.517457	0.286872	0.157326	1.9
67	-0.570949	4.736189	0.295580	0.066762	1.5
68	-0.557300	3.954921	0.304834	0.032110	1.5
69	-0.632514	3.398449	0.311787	0.034225	1.5
70	-0.617693	3.400221	0.311764	0.027022	1.5
71	-0.592001	2.938411	0.317779	0.167812	1.4
72	-0.577937	2.160946	0.328446	0.140049	1.7
73	-0.587418	1.379678	0.339912	0.033900	1.7
74	-0.598998	2.209453	0.327759	0.090288	1.8
75	-0.591576	3.102994	0.315609	0.047046	1.6
76	-0.636345	3.142935	0.315087	0.105539	1.5
77	-0.549000	2.363884	0.325593	0.047794	1.8
78	-0.636224	1.584207	0.336833	0.067280	1.6
79	-0.545883	0.836076	0.348374	0.064544	1.5
80	-0.558181	1.835858	0.333121	0.127021	1.7
81	-0.570908	2.835858	0.319146	0.072929	1.8
82	-0.516702	2.054591	0.329961	0.059696	1.8
83	-0.572790	1.273419	0.341533	0.118614	2.5
84	-0.561192	2.273419	0.326858	0.114235	2.4
85	-0.582913	1.492151	0.338212	0.070732	2.8
86	-0.657847	0.710884	0.350383	0.047200	2.9
87	-0.622268	1.709425	0.334976	0.095592	1.9
88	-0.530502	2.706796	0.320883	0.041609	2.8
89	-0.563178	2.023987	0.330399	0.039460	1.9
