1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.232819	0.000000	36.331032	0.002987	589.5
1	-0.233148	0.000000	36.331032	0.002147	13.2
2	-0.233081	1.000000	34.679622	0.004412	13.0
3	-0.232679	2.000000	33.171812	0.010158	13.9
4	-0.231991	3.000000	31.789653	0.014392	15.8
5	-0.231600	4.000000	30.518067	0.019007	14.4
6	-0.230345	5.000000	29.344295	0.018566	14.2
7	-0.233190	6.000000	28.257470	0.008358	14.9
8	-0.232867	7.000000	27.248274	0.003350	14.4
9	-0.232723	6.990000	27.258009	0.005019	14.8
10	-0.232993	7.990000	26.317754	0.002773	16.1
11	-0.233307	7.980000	26.326835	0.005471	13.0
12	-0.232833	7.970000	26.335923	0.012203	13.3
13	-0.232908	8.970000	25.457180	0.003842	13.5
14	-0.232619	9.970000	24.635185	0.003871	17.3
15	-0.232649	10.970000	23.864613	0.006902	14.0
16	-0.232437	11.970000	23.140785	0.004187	14.2
17	-0.233396	11.960000	23.147806	0.001953	18.4
18	-0.233448	11.950000	23.154831	0.000708	13.3
19	-0.233443	11.940000	23.161860	0.001712	14.4
20	-0.233391	12.940000	22.479425	0.003842	20.4
21	-0.233275	13.940000	21.836053	0.006133	24.5
22	-0.233100	14.940000	21.228483	0.009135	23.3
23	-0.232976	15.940000	20.653808	0.002183	17.1
24	-0.233106	16.940000	20.109428	0.005793	14.4
25	-0.233336	16.930000	20.114729	0.004829	13.5
26	-0.233276	17.930000	19.598040	0.006078	16.7
27	-0.233205	18.930000	19.107230	0.007250	15.2
28	-0.233164	19.930000	18.640403	0.005884	12.9
29	-0.233367	20.930000	18.195843	0.004256	26.7
30	-0.233376	21.930000	17.771994	0.005618	22.1
31	-0.233250	22.930000	17.367441	0.006364	13.0
32	-0.233307	23.930000	16.980897	0.006041	13.9
33	-0.233297	24.930000	16.611184	0.005477	13.7
34	-0.233381	25.930000	16.257227	0.005568	14.0
35	-0.233299	26.930000	15.918041	0.005416	12.8
36	-0.233410	27.930000	15.592718	0.005280	11.7
37	-0.233320	28.930000	15.280426	0.005042	11.7
38	-0.233443	29.930000	14.980398	0.004804	13.4
39	-0.233344	30.930000	14.691925	0.004626	14.5
40	-0.233467	31.930000	14.414353	0.004362	13.2
41	-0.233367	32.930000	14.147074	0.004261	13.0
42	-0.233472	33.930000	13.889526	0.004042	15.7
43	-0.233384	34.930000	13.641189	0.003967	15.1
44	-0.233474	35.930000	13.401575	0.003773	12.5
45	-0.233398	36.930000	13.170234	0.003691	14.1
46	-0.233476	37.930000	12.946745	0.003501	14.4
47	-0.233409	38.930000	12.730714	0.003410	14.3
48	-0.233482	39.930000	12.521774	0.003223	16.0
49	-0.233419	40.930000	12.319581	0.003114	13.8
50	-0.233482	41.930000	12.123815	0.002921	13.7
51	-0.233428	42.930000	11.934173	0.002793	13.5
52	-0.233482	43.930000	11.750372	0.002596	12.2
53	-0.233435	44.930000	11.572147	0.002450	12.1
54	-0.233487	45.930000	11.399248	0.002250	16.1
55	-0.233442	46.930000	11.231439	0.002090	12.7
56	-0.233486	47.930000	11.068500	0.001889	13.8
57	-0.233446	48.930000	10.910220	0.001720	12.9
58	-0.233484	49.930000	10.756403	0.001524	12.8
59	-0.233450	50.930000	10.606863	0.001349	13.2
60	-0.233487	51.930000	10.461424	0.001165	13.2
61	-0.233453	52.930000	10.319920	0.000996	15.0
62	-0.233489	53.930000	10.182192	0.000831	14.4
63	-0.233466	54.930000	10.048093	0.000684	12.4
64	-0.233484	55.930000	9.917479	0.000549	12.2
65	-0.233473	56.930000	9.790218	0.000431	11.7
66	-0.233485	57.930000	9.666181	0.000331	11.9
67	-0.233479	58.930000	9.545248	0.000247	14.1
68	-0.233485	59.930000	9.427304	0.000180	15.9
69	-0.233479	60.930000	9.312238	0.000128	13.1
70	-0.233485	61.930000	9.199948	0.000088	12.7
71	-0.233485	62.930000	9.090333	0.000060	13.2
72	-0.233485	63.930000	8.983300	0.000040	14.1
73	-0.233485	64.930000	8.878758	0.000026	15.4
74	-0.233485	65.930000	8.776621	0.000018	14.8
75	-0.233485	66.930000	8.676807	0.000013	12.1
76	-0.233485	67.930000	8.579239	0.000010	16.8
77	-0.233491	67.920000	8.580203	0.000009	12.8
78	-0.233491	67.910000	8.581168	0.000008	13.1
79	-0.233491	67.900000	8.582134	0.000007	13.0
80	-0.233491	67.890000	8.583099	0.000007	13.4
81	-0.233491	67.880000	8.584065	0.000006	15.0
82	-0.233491	67.870000	8.585031	0.000006	14.0
83	-0.233491	67.860000	8.585997	0.000005	13.9
84	-0.233491	67.850000	8.586963	0.000005	14.3
85	-0.233491	67.840000	8.587930	0.000004	15.4
86	-0.233491	67.830000	8.588897	0.000004	12.9
87	-0.233491	67.820000	8.589864	0.000004	15.5
88	-0.233491	67.810000	8.590831	0.000003	13.1
89	-0.233491	67.800000	8.591798	0.000003	14.6
90	-0.233491	67.790000	8.592766	0.000003	14.6
91	-0.233491	67.780000	8.593734	0.000003	14.3
92	-0.233491	67.770000	8.594702	0.000002	14.5
93	-0.233491	67.760000	8.595670	0.000002	13.2
94	-0.233491	67.750000	8.596639	0.000002	12.4
95	-0.233491	67.740000	8.597607	0.000002	13.2
96	-0.233491	67.730000	8.598576	0.000002	15.9
97	-0.233491	67.720000	8.599546	0.000002	14.5
98	-0.233491	67.710000	8.600515	0.000002	13.8
99	-0.233491	67.700000	8.601485	0.000001	14.4
100	-0.233491	67.690000	8.602454	0.000001	14.1
101	-0.233491	67.680000	8.603424	0.000001	13.5
102	-0.233491	67.670000	8.604395	0.000001	20.9
103	-0.233491	67.660000	8.605365	0.000001	13.6
104	-0.233491	67.650000	8.606336	0.000001	15.0
105	-0.233491	67.640000	8.607307	0.000001	18.6
106	-0.233491	67.630000	8.608278	0.000001	13.4
107	-0.233491	67.620000	8.609249	0.000001	13.3
108	-0.233491	67.610000	8.610221	0.000001	14.2
109	-0.233491	67.600000	8.611193	0.000001	14.2
110	-0.233491	67.590000	8.612165	0.000001	14.3
111	-0.233491	67.580000	8.613137	0.000001	14.7
112	-0.233491	67.570000	8.614110	0.000000	14.9
113	-0.233491	67.560000	8.615082	0.000000	13.6
114	-0.233491	67.550000	8.616055	0.000000	16.5
115	-0.233491	67.540000	8.617028	0.000000	16.0
116	-0.233491	67.530000	8.618002	0.000000	14.4
117	-0.233491	67.520000	8.618975	0.000000	14.2
118	-0.233491	67.510000	8.619949	0.000000	13.8
119	-0.233491	67.500001	8.620923	0.000000	15.4
120	-0.233491	67.490004	8.621897	0.000000	14.7
121	-0.233491	67.480015	8.622870	0.000000	15.6
122	-0.233491	67.470045	8.623842	0.000000	13.4
123	-0.233491	67.460119	8.624810	0.000000	12.4
124	-0.233491	67.450273	8.625770	0.000000	13.5
125	-0.233491	67.440563	8.626717	0.000000	12.6
126	-0.233491	67.431059	8.627644	0.000000	15.5
127	-0.233491	67.421840	8.628543	0.000000	14.3
128	-0.233491	67.412990	8.629407	0.000000	14.1
129	-0.233491	67.404586	8.630227	0.000000	14.2
130	-0.233491	67.396693	8.630998	0.000000	13.9
131	-0.233491	67.389362	8.631714	0.000000	14.1
132	-0.233491	67.382622	8.632372	0.000000	13.0
133	-0.233491	67.376485	8.632972	0.000000	16.0
134	-0.233491	67.370948	8.633512	0.000000	12.8
135	-0.233491	67.365991	8.633997	0.000000	14.7
136	-0.233491	67.361585	8.634427	0.000000	13.0
137	-0.233491	67.357694	8.634808	0.000000	13.3
138	-0.233491	67.354276	8.635142	0.000000	14.7
139	-0.233491	67.351288	8.635434	0.000000	14.6
140	-0.233491	67.348688	8.635688	0.000000	14.1
141	-0.233491	67.346433	8.635908	0.000000	14.0
142	-0.233491	67.344483	8.636099	0.000000	15.3
143	-0.233491	67.342802	8.636263	0.000000	15.2
144	-0.233491	67.341356	8.636404	0.000000	13.9
