1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.546353	0.000000	0.588889	0.024823	560.6
1	-0.548049	0.000000	0.588889	0.072580	1.6
2	-0.569095	0.000000	0.588889	0.024265	1.5
3	-0.529623	0.602999	0.572452	0.021464	2.0
4	-0.573646	0.179237	0.583905	0.041151	1.9
5	-0.517588	0.000000	0.588889	0.042138	1.6
6	-0.497249	0.776613	0.567888	0.038103	1.6
7	-0.481767	0.222330	0.582720	0.056296	1.6
8	-0.487697	0.000000	0.588889	0.091242	1.8
9	-0.548877	0.955341	0.563265	0.085967	2.6
10	-0.520201	1.955341	0.538727	0.039936	3.1
11	-0.521859	1.400320	0.552076	0.039306	2.6
12	-0.509620	1.081444	0.560048	0.029455	1.8
13	-0.528060	0.540877	0.574102	0.072337	1.6
14	-0.521102	0.000000	0.588889	0.087255	1.6
15	-0.522348	0.000000	0.588889	0.036191	1.8
16	-0.550598	0.000000	0.588889	0.057888	1.5
17	-0.493607	0.000000	0.588889	0.038683	1.5
18	-0.555553	0.000000	0.588889	0.138946	1.6
19	-0.549506	0.000000	0.588889	0.066441	1.5
20	-0.566488	0.000000	0.588889	0.068415	2.4
21	-0.502879	0.999978	0.562122	0.082133	1.5
22	-0.566975	1.999974	0.537682	0.049213	1.7
23	-0.583091	1.444950	0.550978	0.095477	1.6
24	-0.524752	2.444947	0.527477	0.029994	1.5
25	-0.508540	2.644913	0.523016	0.048191	1.5
26	-0.472912	2.110129	0.535119	0.042117	1.5
27	-0.518967	1.555230	0.548284	0.053843	1.5
28	-0.544177	2.216968	0.532657	0.064558	1.6
29	-0.525684	3.216905	0.510663	0.033199	1.9
30	-0.503556	4.202214	0.490698	0.033628	1.5
31	-0.517730	4.365465	0.487540	0.032071	1.7
32	-0.590882	3.823861	0.498177	0.043495	1.5
33	-0.578835	3.343816	0.508000	0.041485	1.7
34	-0.544962	2.789167	0.519845	0.033377	1.5
35	-0.529416	2.235633	0.532229	0.113323	1.6
36	-0.500716	1.680612	0.545253	0.084511	1.9
37	-0.564712	1.125589	0.558931	0.065252	1.5
38	-0.544856	1.291334	0.554775	0.033886	1.7
39	-0.603038	0.737605	0.568907	0.120188	1.7
40	-0.572137	0.182582	0.583813	0.045383	2.4
41	-0.525699	0.000000	0.588889	0.023502	2.7
42	-0.572356	0.000000	0.588889	0.033029	2.1
43	-0.580141	0.000000	0.588889	0.094159	1.6
44	-0.577386	0.000000	0.588889	0.051690	2.1
45	-0.552337	0.000000	0.588889	0.124799	2.3
46	-0.526232	0.000000	0.588889	0.044966	1.7
47	-0.565233	0.000000	0.588889	0.064386	1.5
48	-0.530757	0.000000	0.588889	0.072521	1.5
49	-0.550659	1.000000	0.562121	0.025914	1.5
50	-0.582843	0.482945	0.575651	0.076880	1.8
51	-0.563710	0.000000	0.588889	0.053461	1.5
