1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.575992	0.000000	1.130686	0.016514	537.9
1	-0.583787	0.000000	1.130686	0.033261	2.0
2	-0.589070	0.000000	1.130686	0.028594	1.6
3	-0.594275	0.995405	1.079516	0.037142	2.0
4	-0.573771	1.995155	1.032583	0.018650	1.6
5	-0.567898	1.489180	1.055814	0.033752	1.6
6	-0.551925	0.957993	1.081356	0.039351	1.8
7	-0.563087	0.426444	1.108182	0.025776	1.6
8	-0.582923	0.000000	1.130686	0.057537	1.5
9	-0.559449	0.000000	1.130686	0.070873	1.8
10	-0.610499	0.000000	1.130686	0.106690	1.9
11	-0.594190	0.000000	1.130686	0.097424	1.9
12	-0.554169	0.000000	1.130686	0.076337	2.1
13	-0.609875	0.000000	1.130686	0.096077	1.6
14	-0.607124	0.000000	1.130686	0.020176	1.9
15	-0.605607	0.000000	1.130686	0.022755	1.9
16	-0.625312	0.000000	1.130686	0.030895	1.8
17	-0.621589	0.000000	1.130686	0.046545	1.7
18	-0.631507	0.000000	1.130686	0.026956	2.0
19	-0.549514	0.000000	1.130686	0.018701	1.6
20	-0.590492	0.000000	1.130686	0.028524	2.0
21	-0.593570	0.000000	1.130686	0.022231	1.8
22	-0.617466	0.000000	1.130686	0.018808	1.6
23	-0.618390	0.000000	1.130686	0.036995	1.6
24	-0.615800	0.000000	1.130686	0.026158	1.6
25	-0.646609	0.000000	1.130686	0.025873	1.5
26	-0.627297	0.000000	1.130686	0.041485	1.6
27	-0.616199	0.000000	1.130686	0.015784	2.4
28	-0.634531	0.666483	1.095905	0.016819	2.5
29	-0.673053	0.206903	1.119654	0.033097	3.6
30	-0.570736	0.000000	1.130686	0.020311	3.3
31	-0.610368	0.000000	1.130686	0.015142	3.0
32	-0.618891	0.000000	1.130686	0.025137	1.9
33	-0.692737	0.000000	1.130686	0.079753	2.1
34	-0.610922	0.000000	1.130686	0.025214	2.5
35	-0.615180	0.909244	1.083762	0.033643	1.9
36	-0.614109	0.377701	1.110709	0.032833	2.4
37	-0.602455	1.320362	1.063800	0.022485	2.1
38	-0.643896	0.788821	1.089752	0.025210	2.4
39	-0.593161	0.295120	1.115016	0.027681	2.0
40	-0.645437	0.000000	1.130686	0.038886	1.6
