1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.558822	0.000000	0.883380	0.029532	507.7
1	-0.547402	0.000000	0.883380	0.061183	1.9
2	-0.565970	0.000000	0.883380	0.072720	1.8
3	-0.561668	0.000000	0.883380	0.027662	1.5
4	-0.603139	0.000000	0.883380	0.031367	1.7
5	-0.605868	0.000000	0.883380	0.077176	2.7
6	-0.578135	1.000000	0.843227	0.077928	1.8
7	-0.588433	2.000000	0.806565	0.036185	1.7
8	-0.558501	1.776642	0.814474	0.029876	1.5
9	-0.528203	1.553285	0.822540	0.035448	1.7
10	-0.580358	1.329930	0.830768	0.076390	1.7
11	-0.546655	2.329930	0.795158	0.049742	1.5
12	-0.552832	3.329930	0.762476	0.029697	1.7
13	-0.556539	3.106572	0.769541	0.038054	1.9
14	-0.569326	2.883215	0.776737	0.052620	2.2
15	-0.501688	3.404788	0.760137	0.008645	1.9
16	-0.573635	3.188508	0.766934	0.020062	1.7
17	-0.633203	3.019054	0.772345	0.050861	1.8
18	-0.523192	2.795697	0.779594	0.018252	1.7
19	-0.551770	2.603808	0.785932	0.047974	1.6
20	-0.593398	2.380464	0.793440	0.008090	1.7
21	-0.533414	2.161366	0.800945	0.023914	2.0
22	-0.463204	1.953512	0.808198	0.038626	1.7
23	-0.554532	1.800629	0.813617	0.023762	1.7
24	-0.586696	2.567319	0.787149	0.026833	1.6
25	-0.561805	2.344011	0.794679	0.014313	1.7
26	-0.513952	2.307376	0.795928	0.045714	1.9
27	-0.567188	3.306922	0.763198	0.025645	1.5
28	-0.570925	3.083564	0.770276	0.053301	2.0
29	-0.579450	2.860206	0.777486	0.034651	1.8
30	-0.596529	3.860205	0.746212	0.030396	1.6
31	-0.530334	3.642624	0.752801	0.044342	1.6
32	-0.572431	3.419266	0.759686	0.039548	1.6
33	-0.544571	4.416031	0.729893	0.029650	1.8
34	-0.588183	4.192674	0.736364	0.083396	1.9
35	-0.556256	3.969316	0.742951	0.017886	1.8
36	-0.511600	4.969316	0.714342	0.035513	1.7
37	-0.564769	5.941924	0.688555	0.023717	1.7
38	-0.530951	6.931011	0.664172	0.023906	2.2
39	-0.557523	7.456126	0.651915	0.017582	1.6
40	-0.587681	7.236252	0.656992	0.025985	1.7
41	-0.582398	7.098590	0.660211	0.016680	1.9
42	-0.538781	8.082904	0.637866	0.019421	2.2
43	-0.632338	7.874475	0.642470	0.020865	1.8
44	-0.595439	8.103869	0.637406	0.053025	2.3
45	-0.585209	7.880513	0.642336	0.015374	2.5
46	-0.606122	7.657166	0.647342	0.029794	2.8
47	-0.538751	7.435300	0.652393	0.071375	2.3
48	-0.580509	7.211942	0.657558	0.020444	2.0
49	-0.594483	6.988585	0.662805	0.017404	1.7
50	-0.582892	6.782693	0.667717	0.060442	1.7
51	-0.566157	6.574082	0.672769	0.070733	1.7
52	-0.607504	6.350724	0.678263	0.067027	1.8
53	-0.587271	7.350724	0.654339	0.030719	2.8
54	-0.564762	8.350724	0.632045	0.079634	1.8
55	-0.567989	8.127366	0.636892	0.022236	1.6
56	-0.578689	9.127366	0.615752	0.074955	1.6
57	-0.562422	8.904008	0.620351	0.073106	1.6
58	-0.552460	8.680650	0.625019	0.014528	2.0
59	-0.530480	8.631717	0.626052	0.031765	1.7
60	-0.538063	8.414798	0.630668	0.047471	1.9
61	-0.540786	8.191440	0.635494	0.017556	2.6
62	-0.531191	7.973682	0.640270	0.074089	1.6
63	-0.587223	7.750379	0.645243	0.038093	1.9
64	-0.589681	8.750379	0.623555	0.023960	1.8
65	-0.492489	8.558961	0.627593	0.053198	1.5
66	-0.494379	9.518571	0.607859	0.028955	1.7
67	-0.601216	10.518563	0.588573	0.060188	1.5
68	-0.578586	10.295205	0.592774	0.066274	1.5
69	-0.547645	11.295205	0.574419	0.081092	1.6
70	-0.623945	12.295205	0.557167	0.044696	1.9
71	-0.493994	13.295205	0.540921	0.034610	1.5
72	-0.537676	14.294026	0.525613	0.030186	1.5
73	-0.579588	15.292803	0.511148	0.023548	1.5
74	-0.573591	15.072075	0.514276	0.030512	1.9
75	-0.632945	14.860150	0.517315	0.021686	1.5
76	-0.576667	14.636861	0.520556	0.026963	1.8
77	-0.596282	14.413567	0.523838	0.023569	2.1
78	-0.582369	14.190321	0.527162	0.006886	1.6
79	-0.560867	14.685672	0.519844	0.041598	1.5
80	-0.548487	14.469550	0.523012	0.028736	1.7
81	-0.589528	14.246192	0.526326	0.032811	1.5
82	-0.523561	15.244546	0.511828	0.028926	1.8
83	-0.563776	15.025666	0.514938	0.032861	1.7
84	-0.595315	14.802309	0.518151	0.024489	1.7
85	-0.560987	14.578954	0.521403	0.026429	1.5
86	-0.563921	14.355630	0.524697	0.024895	1.9
87	-0.578758	14.132576	0.528028	0.047143	1.7
88	-0.557828	13.909219	0.531406	0.037994	1.7
89	-0.570266	14.908954	0.516612	0.049487	1.7
90	-0.594582	15.908954	0.502615	0.087035	1.9
91	-0.555203	15.685596	0.505675	0.032710	1.9
92	-0.560039	16.685596	0.492257	0.043253	1.5
93	-0.609949	16.462238	0.495192	0.051187	1.5
94	-0.521985	16.238881	0.498162	0.048051	1.7
95	-0.561354	17.238880	0.485134	0.029063	1.7
96	-0.571801	18.220704	0.472990	0.013151	1.7
97	-0.589338	19.041104	0.463299	0.028788	1.7
98	-0.672845	19.918065	0.453369	0.066561	1.7
99	-0.561712	19.694707	0.455857	0.008467	2.3
100	-0.586041	19.805971	0.454614	0.097549	2.4
101	-0.575660	19.603019	0.456887	0.025212	2.3
102	-0.545545	20.603019	0.445905	0.046732	1.8
103	-0.545347	20.379661	0.448312	0.021448	2.4
104	-0.588869	21.178700	0.439819	0.032588	1.6
105	-0.614855	20.955382	0.442160	0.063365	2.1
106	-0.556442	21.713286	0.434314	0.022760	1.8
107	-0.579358	22.713285	0.424379	0.039402	1.7
108	-0.570707	22.489927	0.426558	0.025979	1.7
109	-0.569508	23.487733	0.416991	0.025427	1.5
110	-0.585523	24.484796	0.407850	0.049043	1.6
111	-0.586717	24.930051	0.403896	0.060122	2.4
112	-0.592280	24.706693	0.405870	0.039831	1.7
113	-0.562362	24.483335	0.407863	0.029188	1.9
