1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.687923	0.000000	0.554381	0.078584	576.9
1	-0.667545	0.000000	0.554381	0.114401	2.0
2	-0.771094	1.000000	0.529182	0.047289	1.6
3	-0.690771	1.999993	0.506174	0.099168	1.6
4	-0.772541	2.999743	0.485089	0.063589	1.8
5	-0.685904	2.627202	0.492737	0.044067	2.0
6	-0.716659	2.254680	0.500630	0.064899	1.5
7	-0.716116	1.882167	0.508780	0.055144	1.8
8	-0.731181	2.344266	0.498709	0.046771	1.7
9	-0.741774	1.972343	0.506783	0.049020	1.7
10	-0.706912	1.599962	0.515134	0.071069	1.7
11	-0.763388	1.227421	0.523767	0.091727	1.6
12	-0.678367	0.863576	0.532484	0.082842	1.6
13	-0.696798	1.863576	0.509194	0.098130	2.0
14	-0.771581	1.491035	0.517628	0.008359	1.6
15	-0.694283	1.134440	0.525968	0.033096	1.7
16	-0.796385	0.918890	0.531140	0.037318	1.7
17	-0.787290	1.375514	0.520301	0.039413	1.7
18	-0.751152	1.004935	0.529063	0.060908	1.8
19	-0.748512	0.642081	0.537933	0.052212	1.9
20	-0.695699	0.269614	0.547354	0.046998	1.8
21	-0.692720	0.000000	0.554381	0.030402	2.4
22	-0.740291	0.000000	0.554381	0.031002	2.2
23	-0.725975	0.000000	0.554381	0.093905	3.1
24	-0.726629	0.000000	0.554381	0.059209	2.0
25	-0.711035	1.000000	0.529182	0.073979	1.6
26	-0.755804	1.999947	0.506175	0.046458	1.8
27	-0.759889	1.627410	0.514509	0.052165	2.2
28	-0.672124	1.254992	0.523119	0.031795	3.1
29	-0.735020	0.883603	0.531996	0.040432	2.0
30	-0.646589	1.326751	0.521437	0.048175	1.8
31	-0.752842	2.321008	0.499207	0.061534	1.6
32	-0.688152	1.948472	0.507310	0.043353	1.7
33	-0.711309	1.576954	0.515659	0.118382	1.5
34	-0.747182	1.204413	0.524310	0.024946	1.5
35	-0.726431	2.203907	0.501726	0.191923	1.6
36	-0.751087	1.831366	0.509913	0.041804	1.9
37	-0.747573	2.831366	0.488516	0.039062	1.8
38	-0.719715	3.828374	0.468899	0.048046	1.6
39	-0.769882	4.760864	0.451926	0.029061	1.5
40	-0.772512	4.457099	0.457318	0.053350	1.8
41	-0.734587	4.105393	0.463725	0.037485	1.6
42	-0.739617	3.737378	0.470624	0.077240	1.5
43	-0.710964	4.729093	0.452484	0.147153	2.4
44	-0.681812	4.356552	0.459132	0.032317	1.9
45	-0.805021	5.342017	0.441956	0.041535	1.5
46	-0.783138	4.971487	0.448261	0.088750	1.7
47	-0.696483	5.971303	0.431644	0.079940	1.8
48	-0.749889	5.598762	0.437690	0.043970	1.5
49	-0.781449	6.598616	0.421833	0.023119	1.8
50	-0.736726	6.604400	0.421744	0.050762	1.9
51	-0.724027	6.264927	0.426995	0.030435	1.6
52	-0.733165	7.257693	0.411994	0.088972	1.8
53	-0.768496	6.885175	0.417498	0.041969	2.0
54	-0.754167	7.885172	0.403044	0.032026	1.5
55	-0.718798	7.515395	0.408271	0.066731	1.7
56	-0.740227	7.142898	0.413675	0.047005	1.5
57	-0.712504	8.142892	0.399480	0.063231	1.6
58	-0.722383	9.138142	0.386288	0.034542	1.5
59	-0.755264	9.645231	0.379896	0.029151	2.1
60	-0.744980	9.296912	0.384264	0.034770	1.6
61	-0.790802	10.036115	0.375111	0.101132	1.5
62	-0.727061	9.671366	0.379572	0.052538	1.7
63	-0.783851	9.298825	0.384239	0.028049	1.8
64	-0.740663	8.927196	0.389011	0.027795	1.7
65	-0.645736	8.651031	0.392634	0.104343	1.8
66	-0.733488	8.278732	0.397627	0.021255	1.6
67	-0.715336	7.980397	0.401720	0.090290	2.0
68	-0.803561	7.608449	0.406943	0.050872	2.1
